player,AGE,WEEKLY SALARY,,
Christian Atsu,26,"30,000",,
Deandre Yedlin,25,"30,000",,
Karl Darlow,27,"25,000",,
Rob Elliot,32,"25,000",,
Robert Kenedy?,22,"25,000",,
Jacob Murphy,23,"25,000",,
Isaac Hayden,23,"22,000",,
Freddie Woodman,21,"3,000",,
Manolo Gabbiadini,26,"80,000",,
Danny Ings?,26,"75,000",,
Charlie Austin,29,"70,000",,
Ryan Bertrand,29,"70,000",,
Fraser Forster,30,"70,000",,
Mario Lemina,24,"65,000",,
Oriol Romeu,26,"65,000",,
Cedric Soares,26,"65,000",,
Steven Davis,33,"60,000",,
Mohamed Elyounoussi,24,"60,000",,
Wesley Hoedt,24,"60,000",,
Shane Long,31,"60,000",,
Nathan Redmond,24,"60,000",,
Jannik Vestergaard,26,"60,000",,
Stuart Armstrong,26,"50,000",,
Pierre-Emile Hojbjerg,23,"50,000",,
Alex McCarthy,28,"50,000",,
Maya Yoshida,30,"50,000",,
Jack Stephens,24,"48,000",,
James Ward-Prowse,23,"45,000",,
Sam Gallagher,22,"40,000",,
Angus Gunn,22,"40,000",,
Matt Targett,22,"35,000",,
Jan Bednarek,22,"20,000",,
Harry Kane,25,"200,000",,
Heung-Min Son,26,"140,000",,
Dele Alli,22,"100,000",,
Hugo Lloris,31,"100,000",,
Jan Vertonghen,31,"100,000",,
Erik Lamela,26,"80,000",,
Lucas Moura,26,"80,000",,
Moussa Sissoko,29,"80,000",,
Christian Eriksen,26,"75,000",,
Fernando Llorente,33,"75,000",,
Serge Aurier,25,"70,000",,
Davinson Sanchez,22,"65,000",,
Kieran Trippier,27,"65,000",,
Victor Wanyama,27,"65,000",,
Ben Davies,25,"60,000",,
Eric Dier,24,"60,000",,
Danny Rose,28,"60,000",,
Harry Winks,22,"50,000",,
Michel Vorm,34,"40,000",,
Vincent Janssen,24,"34,000",,
Juan Foyth,20,"21,500",,
Paulo Gazzaniga,26,"20,000",,
Kyle Walker-Peters,21,"20,000",,
Abdoulaye Doucour?,25,"70,000",,
Andre Gray,27,"70,000",,
Troy Deeney,30,"65,000",,
Gerard Deulofeu,24,"60,000",,
Tom Cleverley,29,"50,000",,
Daryl Janmaat,29,"45,000",,
Roberto Pereyra,27,"45,000",,
Sebastian Prodl,31,"45,000",,
?tienne Capoue,30,"40,000",,
Nathaniel Chalobah,23,"35,000",,
Heurelho Gomes,37,"35,000",,
Younes Kaboul,32,"35,000",,
Stefano Okaka,29,"35,000",,
Ben Foster,35,"30,000",,
Jose Holebas,34,"30,000",,
Will Hughes,23,"30,000",,
Christian Kabasele,27,"30,000",,
Isaac Success,22,"30,000",,
Adam Masina,24,"28,000",,
Miguel Britos,33,"25,000",,
Craig Cathcart,29,"23,077",,
Marc Navarro,23,"23,000",,
Kiko Femenia,27,"20,000",,
Marvin Zeegelaar,28,"20,000",,
Adalberto Pe?aranda,21,"18,000",,
Adrian Mariappa,31,"15,000",,
Ken Sema,24,"15,000",,
Domingos Quina,18,"8,000",,
Ben Wilmot,18,"5,000",,
Pontus Dahlberg,19,"3,000",,
Kwasi Sibo,20,,,-
Javier Chicharito Hernandez,30,"140,000",,
Andriy Yarmolenko,28,"115,000",,
Marko Arnautovic,29,"100,000",,
Jack Wilshere,26,"100,000",,
Andy Carroll,29,"90,000",,
Felipe Anderson,25,"85,000",,
Lucas Perez,29,"80,000",,
Pablo Zabaleta,33,"75,000",,
Michail Antonio,28,"70,000",,
Manuel Lanzini,25,"70,000",,
Angelo Ogbonna,30,"70,000",,
Winston Reid,30,"70,000",,
Issa Diop,21,"67,000",,
Lukasz Fabianski,33,"65,000",,
Pedro Obiang,26,"55,000",,
Aaron Cresswell,28,"50,000",,
Mark Noble,31,"50,000",,
Adrian San Miguel del Castillo,31,"50,000",,
Carlos Sanchez,32,"50,000",,
Fabian Balbuena,27,"40,000",,
Ryan Fredericks,25,"40,000",,
Arthur Masuaku,24,"40,000",,
Robert Snodgrass,30,"40,000",,
Reece Oxford,19,"20,000",,
Declan Rice,19,"3,000",,
Jose Moutinho,31,"100,000",,
Rui Patricio,30,"100,000",,
Diogo Jota,21,"55,000",,
Ruben Neves,21,"50,000",,
Adama Traore,22,"43,000",,
Raul Jimenez?,27,"41,000",,
Willy Boly,27,"40,000",,
Leander Dendoncker,23,"37,923",,
Jonny Castro,24,"36,673",,
Leo Bonatini,24,"35,000",,
John Ruddy,31,"35,000",,
Helder Costa,24,"32,500",,
Ruben Vinagre,19,"30,000",,
Ivan Cavaleiro,24,"27,885",,
Romain Saiss,28,"22,000",,
Ryan Bennett,28,"20,000",,
Conor Coady,25,"15,000",,
Matt Doherty,26,"10,000",,
Kortney Hause,23,"8,000",,
Dominic Iorfa,23,"8,000",,
Ethan Ebanks-Landell,25,"3,000",,
Will Norris,25,"3,000",,
Morgan Gibbs-White,18,"1,500",,
